Callsign,Origin,Destination,Day
AYY151,ESMS,EGBB,2020-04-01 
AYY151,EDDK,LGAV,2020-04-01 
AYY151,EDDN,EFTU,2020-04-01 
ULLI,UUWW
ULLI,UUWW
ULLI,UUWW
ESSA,EBBR
ESSA,EBBR
LMML,LEMD
BIKF,EINN
CSN483,EHAM,EGSS,2020-04-01 
CSN483,EDDF,EGSS,2020-04-01 
CSN483,EDDF,EGSS,2020-04-01 
CSN483,EDDF,EGSS,2020-04-01 
CSN483,EDDF,EGSS,2020-04-01 
CSN483,EDDF,EGSS,2020-04-01 
CSN483,EDDF,EGSS,2020-04-01 
LIMC,EBLG
EDDL,EHAM
OOSXX,LIRA,EBAW,2020-04-01 
N747KS,ENVA,BIRK,2020-04-01 
EKCH,EHAM
EKCH,EHAM
EKCH,EHAM
EKCH,EHAM
EKCH,EHAM
MJF65G,UUWW,LSGG,2020-04-01 
MJF65G,LOWW,UUWW,2020-04-01 
MJF65G,UUWW,LSGG,2020-04-01 
MJF65G,LSGG,UUWW,2020-04-01 
EBOS,EDDK
EBOS,EDDK
EBOS,EDDK
ULLI,UUWW
ABW453,UUDD,EHAM,2020-04-01 
EDFH,ELLX
EDFH,ELLX
EDFH,ELLX
EDFH,ELLX
EDFH,ELLX
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
BIKF,EIDW
TAY4803,ESGJ,EFHK,2020-04-01 
TAY4803,EBBR,ESGJ,2020-04-01 
TAY4803,ESOE,EFHK,2020-04-01 
TAY4803,EBBR,ESGJ,2020-04-01 
TAY4803,ESOE,EFHK,2020-04-01 
TAY4803,EBBR,ESGJ,2020-04-01 
TAY4803,ESOE,EFHK,2020-04-01 
TAY4803,EBBR,ESGJ,2020-04-01 
TAY4803,ESGJ,EFHK,2020-04-01 
TAY4803,ESOE,EFHK,2020-04-01 
TAY4803,ESGJ,EFHK,2020-04-01 
