Callsign,Origin,Destination,Day
,LSGG,LSZH,2020-11-20 
,LFML,LFKC,2020-11-29 
,EGBB,LIEO,2020-11-24 
,LIMG,LIMF,2020-11-20 
,LFPO,LFMD,2020-11-14 
,UUEE,UWGG,2020-11-04 
,EGSS,EGNT,2020-11-26 
,ENGM,UUEE,2020-11-08 
,ENGM,ENML,2020-11-10 
,UUEE,UWUU,2020-11-05 
,EGLL,UUEE,2020-11-01 
,LEBL,LEBB,2020-11-17 
,EBCI,EGTE,2020-11-22 
,ETNL,EDDC,2020-11-27 
,LFLL,LFML,2020-11-03 
,ESNZ,ESMX,2020-11-23 
,ENGM,ENBR,2020-11-10 
,LDZA,LDSP,2020-11-06 
,EGBB,LROP,2020-11-19 
,URML,ULLI,2020-11-16 
,LIEO,LIEE,2020-11-20 
,ESMQ,ESSA,2020-11-10 
,ULLI,URML,2020-11-11 
,LEVC,LPPT,2020-11-26 
,ESSA,ESSB,2020-11-30 
,GCXO,LEAL,2020-11-13 
,LOWK,LEMG,2020-11-24 
,LOWW,LSGG,2020-11-29 
,BIKF,EIDW,2020-11-09 
,EHRD,EGLL,2020-11-25 
,UUWW,ULPB,2020-11-02 
,LRCL,LEPA,2020-11-14 
,UUEE,UWLL,2020-11-02 
,UUDD,URWA,2020-11-13 
,GCLP,EDDS,2020-11-21 
,UUEE,UWKD,2020-11-06 
,LKTB,EGBB,2020-11-25 
,LGAV,LGRP,2020-11-20 
,EKOD,EKSB,2020-11-15 
,ENGM,ENVA,2020-11-12 
,ULLI,UUEE,2020-11-02 
,ENSO,ENGM,2020-11-21 
,LFMN,LFPG,2020-11-13 
,UUDD,UUWW,2020-11-03 
,LOWW,LGSA,2020-11-29 
,EGNT,EGAA,2020-11-14 
,LDZA,LDPL,2020-11-25 
,LFKF,EGGW,2020-11-26 
,UUEE,UUYY,2020-11-02 
,UUOO,UUEE,2020-11-07 
,ENVA,ENBO,2020-11-28 
,BIRK,EGPK,2020-11-11 
,LOWL,EDDF,2020-11-10 
,ENGM,ENZV,2020-11-10 
,UMKK,ULLI,2020-11-11 
,UUDD,UWUU,2020-11-09 
,EHRD,EHAM,2020-11-23 
,ENGM,ENVA,2020-11-05 
,LICC,LIME,2020-11-09 
,LICJ,LIMF,2020-11-10 
,LEMG,LEVX,2020-11-13 
,ENGM,ENAL,2020-11-10 
,LIPB,LIPO,2020-11-29 
,LFBO,EHAM,2020-11-30 
,EHRD,EHAM,2020-11-22 
,EDDH,LOWW,2020-11-21 
,ENGM,ENAL,2020-11-10 
,EGPF,EGPH,2020-11-18 
,LEBL,LIML,2020-11-26 
,LIRP,LEBL,2020-11-04 
,EBLG,LEBL,2020-11-09 
,UUEE,EFHK,2020-11-01 
,LFKB,LFMV,2020-11-17 
,LKPR,LEMG,2020-11-19 
,LICC,LIMC,2020-11-08 
,LATI,LIMC,2020-11-05 
,LFML,LFPG,2020-11-15 
,EGGW,UUWW,2020-11-30 
,EFHK,ESSB,2020-11-12 
,EYVI,EDDV,2020-11-08 
,LIMJ,LIEA,2020-11-26 
,UUWW,UWUU,2020-11-13 
,GCXO,LEMD,2020-11-27 
,ESOW,ESSA,2020-11-30 
,ESSV,ESSB,2020-11-19 
,ENGM,ENML,2020-11-10 
,EDHL,ETNL,2020-11-16 
,ULLI,UWLL,2020-11-23 
,LEGR,EHEH,2020-11-20 
,GCLP,LEMD,2020-11-04 
,LDDU,LDZA,2020-11-02 
,EGPA,EGPD,2020-11-26 
,ENGM,ENVA,2020-11-08 
,GCLP,EGAA,2020-11-20 
,LFPG,LFMD,2020-11-15 
,ENHD,ENGM,2020-11-06 
,ENGM,ENVA,2020-11-21 
,LFMN,LFPO,2020-11-10 
,UUWW,UWKS,2020-11-08 
,ESSA,ESND,2020-11-12 
,UWUU,ULLI,2020-11-29 
,ESNZ,ESGT,2020-11-24 
,ENGM,ENML,2020-11-07 
,EYPA,EVVA,2020-11-04 
,ESSA,ESSB,2020-11-18 
,EGSH,EGNJ,2020-11-17 
,GCLP,EDDH,2020-11-11 
,UMKK,ULLI,2020-11-28 
,EDDL,LSZH,2020-11-13 
,ENBR,ENML,2020-11-11 
,GCXO,LEBL,2020-11-23 
,GCLP,LEMD,2020-11-04 
,LICC,LIPZ,2020-11-02 
,LMML,LEMD,2020-11-24 
,UUEE,URWA,2020-11-13 
,LIRP,LICJ,2020-11-02 
,EGPA,EGPD,2020-11-29 
,ESPA,ESSA,2020-11-08 
,LEMG,LEBL,2020-11-17 
,UWUU,UUEE,2020-11-03 
,UUWW,ULMM,2020-11-06 
,LIPE,EDFH,2020-11-24 
,URWA,UUDD,2020-11-03 
,EDDL,EHAM,2020-11-10 
,EDDS,LSZB,2020-11-18 
,LSZR,EDNY,2020-11-18 
,LDZA,LIRF,2020-11-12 
,ESSA,ESNU,2020-11-09 
,LEMD,LMML,2020-11-24 
,EGLL,LFPG,2020-11-01 
,ULLI,UMKK,2020-11-01 
,EGPF,EGPE,2020-11-17 
,ENVA,ENGM,2020-11-10 
,ESSA,ESSB,2020-11-20 
,EGPA,EGPD,2020-11-29 
,LEVX,UKBB,2020-11-27 
,ENVA,ENGM,2020-11-14 
,ENBO,ESSB,2020-11-14 
,ESSA,ESNN,2020-11-07 
,UUWW,URWA,2020-11-13 
,UUWW,ULLI,2020-11-17 
,GCFV,EDDF,2020-11-19 
,EGPD,EGPC,2020-11-11 
,LGIR,LGAV,2020-11-11 
,ENGM,ENBR,2020-11-07 
,EFHK,EFJO,2020-11-24 
,LIMG,LIMF,2020-11-25 
,EDDH,GCLP,2020-11-10 
,EPWR,EDDB,2020-11-17 
,LGMK,LZIB,2020-11-30 
,UWKD,UUWW,2020-11-16 
,EGNR,LIML,2020-11-14 
,LIMJ,EGSS,2020-11-24 
,LOWW,UUEE,2020-11-12 
,LGAV,LGRP,2020-11-24 
,LIML,EDDL,2020-11-20 
,EPKT,EPWA,2020-11-19 
,EGPH,EGPD,2020-11-25 
,EDDH,GCXO,2020-11-18 
,LIEE,LIEA,2020-11-19 
,URRP,UWWW,2020-11-15 
,EGGW,EIDW,2020-11-07 
,ENSO,ENGM,2020-11-23 
,EIWF,EICM,2020-11-21 
,LICC,LIRF,2020-11-08 
,LGAV,EDDF,2020-11-20 
,UUDD,UUWW,2020-11-05 
,EDFH,LBSF,2020-11-12 
,LIRF,LEVC,2020-11-19 
,ESGG,ESMK,2020-11-08 
,URRP,UUDD,2020-11-07 
,GCLP,LEMD,2020-11-06 
,LICA,LIRF,2020-11-08 
,LSZH,LIPZ,2020-11-19 
,ESSB,ESSA,2020-11-27 
,ESOE,ESSD,2020-11-26 
,EDDV,EDDF,2020-11-21 
,LOWL,LEMG,2020-11-23 
,LGAV,LGRP,2020-11-03 
,LGIR,LGAV,2020-11-02 
,EIWF,EICM,2020-11-29 
,EFTU,EFHK,2020-11-29 
,UUEE,UWGG,2020-11-09 
,EFOU,EFTP,2020-11-15 
,LFMN,LFPG,2020-11-12 
,URWA,UUWW,2020-11-13 
,LEPP,LEMD,2020-11-11 
,EDDB,LBSF,2020-11-20 
,EFRO,EFHK,2020-11-05 
,ESSB,ENBO,2020-11-12 
